,name,rating,ctype,highly_rated,hq,reviews_K,no_of_employees,desc
10,Genpact,3.9,IT Services & Consulting ,"Job Security, Skill Development / Learning, Work Life Balance", New York ,26.6, 1 Lakh+ ,"Genpact (NYSE: G) is a global professional services firm delivering business outcomes that transform industries and shape the future. Fusing real-world expertise and collaborative innovation, we make businesses work better – breaking down boundaries, creating simplicity from complexity, and building ecosystems of impact. Guided by our experience reinventing and running thousands of processes for hundreds of companies, our Global Fortune 500 clients come to us for digital-led innovation and digitally-enabled operations that dig deep into data to turn insight into action. And we do it all with purpose. From New York to New Delhi and more than 30 countries in between, our 100,000+ team is passionate about our relentless pursuit of a world that works better for people. Genpact began in 1997 as a business unit within General Electric. Then, in January 2005, we became an independent company, bringing our process expertise and unique DNA in Lean management to more companies. We became a publicly traded company in 2007. Since December 31, 2005, we have expanded from 19,000+ employees and annual revenues of $491.90 million to 100,000+ employees and annual revenues of $4.0 billion as of December 31, 2021."
11,Axis Bank,3.9,Banking ,Job Security, Mumbai ,22.3, 50k-1 Lakh ,"Axis Bank is the third largest private sector bank in India. The Bank offers the entire spectrum of financial services to customer segments covering Large and Mid-Corporates, MSME, Agriculture and Retail Businesses. The Bank has a large footprint of 4,050 domestic branches (including extension counters) with 11,801 ATMs & 4,917 cash recyclers spread across the country as on 31st March, 2019. The overseas operations of the Bank are spread over nine international offices with branches at Singapore, Hong Kong, Dubai (at the DIFC), Colombo and Shanghai; representative offices at Dhaka, Dubai, Abu Dhabi and an overseas subsidiary at London, UK. The international offices focus on corporate lending, trade finance, syndication, investment banking and liability businesses."
12,Teleperformance,3.6,BPO ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Paris ,22.4, 50k-1 Lakh ,"Teleperformance is the leading global provider of outsourced Digital Integrated Business Services.Since its 2001 entry into India, Teleperformance leveraged the country’s vast talent pool to offer quality offshore solutions for global brands, and is the designated Center of Excellence (CoE) for Digital CX Services, Back-office, and Transformation Solutions.With an employee strength of 90,000+, India represents the largest multicultural team within Teleperformance, providing world-class services to 210+ clients across different industries.Our High-Tech, High-Touch approach combines the most advanced digital and technology solutions with the human touch to empower world’s leading brands adapt to disruptive digital innovations.Teleperformance in India is recognized among Top 15 Best Workplaces in Asia and is 10 times certified as a Great Place To Work®"
13,Concentrix Corporation,3.9,BPO ,"Job Security, Company Culture", Fremont ,22.2, 50k-1 Lakh ,"Concentrix is a technology-enabled global business services company specializing in customer engagement and improving business performance. We partner with ambitious, progressive executives around the world to future-proof their business and stay ahead of the competition and customer expectations.It’s all about tapping into sentiment and building an emotional connection that keeps customers and staff fanatical about your brand. That’s where we come in—we create exceptional customer engagement, accelerate digital transformation, and deliver actionable CX insights."
14,Jio,4.0,Telecom ,"Job Security, Skill Development / Learning", Navi Mumbai ,20.9, 50k-1 Lakh ,"Reliance Jio Infocomm Limited, a subsidiary of Jio Platforms Limited, has built a world-class all-IP data-strong future-proof network with 4G LTE technology. The network is 5G ready with no legacy infrastructure and an indigenous 5G stack. It is the only network conceived as a Mobile Video Network from the ground up. It is future-ready and can be easily upgraded to support even more data, as technologies advance on to 6G and beyond.  Jio has brought transformational changes in the Indian digital services space to enable the vision of Digital India for 1.3 billion Indians and propel India into global leadership in the digital economy. It has created an eco-system comprising of network, devices, applications and content, service experience, and affordable tariffs for everyone to live the Jio Digital Life."
15,Amazon,4.1,Internet ,"Company Culture, Salary & Benefits, Work Life Balance", Seattle ,20.9, 1 Lakh+ ,"From an online bookstore to one of the world’s largest e-commerce platforms, Amazon has emerged as the top player in the industry since its inception in 1994. Amazon has built an extensive online marketplace across continents, empowering its customers with a catalog encompassing products from A-Z. Amazon strives to be the world’s most customer-centric company, a purpose that has powered multiple breakthroughs in our delivery, supply chain, and customer support services. In the pursuit of operational efficiency, tech innovations have become the cornerstone of the organization. This has led to the pioneering of new services, most notably within the entertainment, publishing, finance, IT, cloud computing, AI, and Machine Learning industries.At the heart of our services and innovations lies our exceptional talent network, which works on behalf of our customers. Customer obsession, passion for innovation, enhancing operational efficiency, and long-term thinking are the values guiding our workforce. Employees have the space to experiment, even if it means encountering failures. This idea ties back to our “Day 1” mentality, where employees are encouraged to ideate like entrepreneurs and renew their efforts the next day with their learnings. Employees have routes to upskill and reinvent themselves through various educational and leadership programs offered by Amazon. These programs are designed to enable them with the know-how to engineer solutions with real-world impact.From its global footprint to its local presence in India, Amazon's operations span continents. With key corporate offices in Hyderabad, Bengaluru, Mumbai, Chennai, Delhi, and Pune, Amazon’s offices are designed to foster collaboration and invention, with suitable amenities to keep employees recharged throughout the day.Know more: https://www.amazon.jobs/en/landing_pages/working-at-amazon?cmpid=JB_A2IS200597B"
16,IBM,4.1,IT Services & Consulting ,"Work Life Balance, Job Security, Skill Development / Learning", Armonk ,20.0, 1 Lakh+ ,"IBM aspires to make a lasting, positive impact on the world by protecting the environment, advocating for inclusion, and fostering trust and transparency in both technology and business. Today’s IBM is more closely aligned with the needs of our clients. Our engagement model is simpler and more effective. And we have expanded our ecosystem by strengthening existing relationships and forging new, productive partnerships. Today’s IBM is not simply a technology company. We are a problem-solving company and a convener of capability that brings together our colleagues, our clients, and our partners with a simple, open invitation: Let’s create. we have sharpened our focus on IBM’s unique ability to integrate technology and business expertise for our clients and our partners. Our portfolio is built around hybrid cloud and artificial intelligence (AI), the two most transformational technologies of our time. Our go-to-market approach brings together the necessary software, consulting, and infrastructure our clients require, from across our expanding ecosystem of partners. They recognize technology as a source of competitive advantage, capable of addressing these immediate issues and future-proofing their businesses by increasing productivity, reducing costs, driving innovation, and fueling growth. This is today’s IBM. "
17,Reliance Retail,4.0,Retail ,"Skill Development / Learning, Job Security", Navi Mumbai ,19.1, 1 Lakh+ ,"Reliance Retail is India's largest, fastest-growing, and most profitable retailer with a diversified Omni-channel presence via integrated store concepts, and digital and new commerce platforms. We provide consumers with an outstanding value proposition, superior quality products, and an unmatched shopping experience. Founded in 2006 with a view to revolutionizing retail in India, we have, over the years, developed and perfected our capabilities across people, processes, and technology to meet our end objectives of creating a win-win proposition for our stakeholders across the value chain viz. Customers, Manufacturers/Farmers, Merchants, and Brand Partners as well as enhancing financial income and job security for tens of millions of Indians. Today, Reliance Retail serves a loyal customer base of more than 193 million across the country, catering to daily and occasional needs across the major consumption baskets of Consumer Electronics, Fashion & Lifestyle, Grocery, Pharma, and Connectivity. We operate the largest store network in the country with 15,000+ stores, spread over 42 million square feet of retail space, and present across 7,000+ cities. Our Omni-enabled store networks and extensive portfolio of digital commerce platforms bolstered by a strong supply chain and technology infrastructure, and supported by a well-trained workforce enable us to provide customer service par excellence. We continue to build our capabilities through organic growth, acquisitions, partnerships, and strategic investments to strengthen our competencies and bolster our product offerings. Our strong own brand portfolio is complemented by an equally strong brand partner portfolio, as Reliance Retail continues to be the partner of choice for leading national and international brands. Reliance Retail’s New Commerce initiative designed to boost the digital ecosystem for millions of partner merchants and MSMEs has enabled lakhs of small merchants to connect with a huge consumer base and embodies our commitment to bettering lives and creating value for the entire ecosystem."
18,HDB Financial Services,4.0,NBFC ,"Skill Development / Learning, Job Security, Company Culture", Ahmedabad ,18.4, 1 Lakh+ ,"HDB Financial Services (HDBFS) is a leading Non-Banking Financial Company (NBFC) that caters to the growing needs of an Aspirational India, serving both Individual & Business Clients. Incorporated in 2007, we are a well-established business with strong capitalization. HDBFS is accredited with CARE AAA & CRISIL AAA ratings for its long-term debt & Bank facilities and an A1+ rating for its short-term debt & commercial papers, making it a strong and reliable financial institution. HDBFS maintains a strong commitment to ethical conduct. Transparency is ingrained in the structure of our Code of Ethics and our compliance policies to ensure that the highest standards of professional conduct are consistently reinforced and embedded in every corner of the organisation."
19,Larsen & Toubro Limited,4.1,Engineering & Construction ,"Job Security, Skill Development / Learning", Mumbai ,16.8, 10k-50k ,"Larsen & Toubro is an Indian multinational engaged in EPC Projects, Hi-Tech Manufacturing and Services. It operates in over 50 countries worldwide. A strong, customer-focused approach and the constant quest for top-class quality have enabled L&T to attain and sustain leadership in its major lines of business for over eight decades.

We are engaged in core, high impact sectors of the economy and our integrated capabilities span the entire spectrum of ‘design to delivery’.

Every aspect of L&T's businesses is characterised by professionalism and high standards of corporate governance. Sustainability is embedded into our long-term strategy for growth.

The Company’s manufacturing footprint extends across eight countries in addition to India. L&T has several international offices and a supply chain that extends around the globe."
20,Vodafone Idea,4.2,Telecom ,"Company Culture, Work Life Balance, Salary & Benefits", Mumbai ,15.5, 5k-10k ,"Vodafone Idea Limited is an Aditya Birla Group and Vodafone Group partnership. It is India’s leading telecom service provider. The Company provides pan India Voice and Data services across 2G, 3G and 4G platform. With the large spectrum portfolio to support the growing demand for data and voice, the company is committed to deliver delightful customer experiences and contribute towards creating a truly ‘Digital India’ by enabling millions of citizens to connect and build a better tomorrow. The Company is developing infrastructure to introduce newer and smarter technologies, making both retail and enterprise customers future ready with innovative offerings, conveniently accessible through an ecosystem of digital channels as well as extensive on-ground presence. The Company is listed on National Stock Exchange (NSE) and Bombay Stock Exchange (BSE) in India."
21,BYJU'S,3.1,EdTech ,"Job Security, Work Life Balance, Company Culture", Bangalore ,14.9, 10k-50k ,"BYJU'S is the world's most valuable ed-tech company and the creator of India's most loved school learning app. Launched in 2015, BYJU'S offers highly personalised and effective learning programs for classes 1 - 12 (K-12), and aspirants of competitive exams like JEE, IAS etc. With 50 million registered students and 3.5 million paid subscriptions, BYJU'S has become one of the most preferred education platforms across the globe."
22,Kotak Mahindra Bank,3.9,Banking ,Job Security, Mumbai ,14.5, 50k-1 Lakh ,"In February 2003, Kotak Mahindra Finance Ltd. (KMFL), the Group's flagship company, received banking license from the Reserve Bank of India (RBI), becoming the first non-banking finance company in India to convert into a bank - Kotak Mahindra Bank Ltd. Effective April 1, 2015, ING Vysya Bank Ltd. merged with Kotak Mahindra Bank Ltd. The Bank has four Strategic Business Units – Consumer Banking, Corporate Banking, Commercial Banking and Treasury, which cater to retail and corporate customers across urban and rural India. The Group offers a wide range of financial services that encompass every sphere of life. From commercial banking, to stock broking, mutual funds, life insurance and investment banking, the Group caters to the diverse financial needs of individuals and the corporate sector. The Group has a wide distribution network through branches and franchisees across India, and international offices in London, New York, California, Dubai, Abu Dhabi, Bahrain, Mauritius and Singapore."
23,Deloitte,3.9,Management Consulting ,"Job Security, Salary & Benefits, Skill Development / Learning", London ,14.1, 1 Lakh+ ,"Deloitte is a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax, and related services.With more than 175 years of hard work and commitment to making a real difference, our organization has grown in scale and diversity—approximately 415,000 people in 150 countries and territories, providing these services—yet our shared culture remains the same. Our organization serves four out of five Fortune Global 500® companies."
24,Reliance Industries,4.1,Oil & Gas ,"Job Security, Skill Development / Learning, Work Life Balance", Navi Mumbai ,13.9, 1 Lakh+ ,
25,iEnergizer,4.7,BPO ,"Company Culture, Job Security, Skill Development / Learning", Noida ,14.3, 10k-50k ,"A conglomerate of some of the most sought-after solutions in the digital landscape, we are a global provider of an array of tech solutions that can help you reimagine the scope of your business. Keeping in mind the big picture, we thrive on digitally transforming businesses through a comprehensive suite of Customer Management and Custom Content Development Services, helping you to reap increased profits through cost-effective, value-rich customer contacts and transformation solutions. Founded in the year 2000, we believe in business process excellence. So, it’s a no-brainer that, we believe in quality over quantity. Developing and transforming customer data that serves the entire customer lifecycle is our niche and we take pride in bringing you unparalleled expertise through our team of 17,000+ professionals across 9 delivery centers, worldwide. We focus primarily on Customer Experience (CX) which is why our staff and customer retention rates are among the highest in the industry."
26,Bharti Airtel,4.1,Telecom ,"Skill Development / Learning, Job Security, Company Culture", Gurgaon/Gurugram ,12.4, 10k-50k ,"Airtel was founded to provide global connectivity and unlock endless opportunities. Our organization embodies a unique blend of energy, innovation, creativity, dedication, scale, and ownership, all aimed at being limitless. At Airtel, we strive to go beyond our duties to create impactful solutions for our consumers.  Our team is highly skilled and constantly growing, actively developing infrastructure to introduce cutting-edge technologies like 5G, IoT, IQ, and Airtel Black. We have successfully launched 5G services in over 5,000 cities and towns nationwide, with 10 million unique customers on the 5G network nationally. Airtel Black is another convenient consumer service that provides combined billing for family and friends under a single bill. We also offer enterprise solutions, including national and international long-distance services for carriers. With a subscriber base exceeding 574 million as of 2023, we are committed to delivering effective products that contribute to the realization of a 'Digital India', enabling millions of individuals to connect and thrive for a brighter future.  Our presence spans 7,915 census and 802,577 non-census towns and villages, covering almost 96% of the country's population with 388,726 Rkms of optical fiber and an extensive distribution network of 1.2 million outlets. We've also implemented conservation initiatives that have saved 14,676 MWh of electricity, 4412 tonnes of paper through our e-bill initiatives, and recycled 3330 tonnes of e-waste. Airtel is a place where we take pride in our journey of firsts. We are an organization of firsts because our people are empowered to #BeLimitless! Join Us to create the future you are dreaming of! At Airtel, we believe in taking early ownership, delivering quality, and experimenting with various career paths to boost our trajectories and gain valuable insights into the business, making us the best in the industry. We are committed to creating the ultimate experience for our consumers while maintaining an ecological balance in the world."
27,Tata Motors,4.2,Automobile ,"Job Security, Skill Development / Learning, Company Culture", Pune ,10.7, 10k-50k ,"Tata Motors Group (Tata Motors) is a $34 billion organization. It is a leading global automobile manufacturing company. Its diverse portfolio includes an extensive range of cars, sports utility vehicles, trucks, buses, and defence vehicles. 

Tata Motors is one of India's largest OEMs offering an extensive range of integrated, smart, and e-mobility solutions. Part of the USD110 billion Tata group founded by Jamsetji Tata in 1868, Tata Motors is among the world’s leading manufacturers of automobiles. 

We believe in ‘Connecting aspirations’, by offering innovative mobility solutions that are in line with customers' aspirations. We are India's largest automobile manufacturer, and we continue to take the lead in shaping the Indian commercial vehicle landscape, with the introduction of leading-edge powertrains and electric solutions packaged for power performances and user comfort at the lowest life-cycle costs. 

Our new passenger cars and utility vehicles are based on Impact Design and offer a superior blend of performance, driveability, and connectivity.

Our focus on connecting aspirations and our pipeline of tech-enabled products keeps us at the forefront of the market. We have identified six key mobility drivers that will lead us into the future – modular architecture, complexity reduction in manufacturing, connected & autonomous vehicles, clean drivelines, shared mobility, and low total cost of ownership. 

Our sub-brand TAMO is an incubating centre of innovation that will spark new mobility solutions through new technologies, business models, and partnerships."
28,WNS,3.5,BPO ,Job Security, Mumbai ,9.8, 10k-50k ,"WNS Limited is a leading Business Process Management (BPM) company. WNS combines deep industry knowledge with technology, analytics, and process expertise to co-create innovative, digitally-led transformational solutions with over 375 clients across various industries. WNS delivers an entire spectrum of BPM solutions including industry-specific offerings, customer experience services, finance and accounting, human resources, procurement, and research and analytics to re-imagine the digital future of businesses. As of December 31, 2021, WNS had 49,610 professionals across 55 delivery centers worldwide including facilities in China, Costa Rica, India, the Philippines, Poland, Romania, South Africa, Spain, Sri Lanka, Turkey, the United Kingdom, and the United States."
29,Flipkart,4.1,Internet ,"Skill Development / Learning, Company Culture, Job Security", Bangalore ,9.5, 10k-50k ,"The Flipkart Group is one of India’s leading digital commerce entities and includes group companies Flipkart, Myntra, and Jabong. Launched in 2007, Flipkart has enabled millions of consumers, sellers, merchants and small businesses to be a part of India’s e-commerce revolution. With a registered customer base of over 100 million, offering over 80 million products across 80+ categories, Flipkart is known for pioneering services such as Cash on Delivery, No Cost EMI and easy returns – customer-centric innovations that have made online shopping more accessible and affordable for millions of Indians. Together with Myntra and Jabong, which hold prominent positions in the online fashion market, the Flipkart Group has steered the transformation of commerce in India through technology."
30,IndusInd Bank,3.7,Banking ,"Promotions / Appraisal, Salary & Benefits, Company Culture", Gurgaon/Gurugram ,9.4, 10k-50k ,"IndusInd Bank is a Mumbai based scheduled private bank founded in Mumbai in April 1994. This bank offers a wide range of banking as well as financial products and services to the customers and is headquartered in Mumbai, Maharashtra. The bank has over 745 branches with a total network of over 1635 operating ATMs. It has two representative offices outside India in London and Dubai respectively. IndusInd Bank stands tall today as one of the reputed banking brands in the country. The bank has been continuously investing in various advertising & marketing programs to enhance the brand image & recall. In an endeavor to emerge as best-in-class brand, IndusInd Bank has made 'Responsive Innovation' as a central theme of its brand building program. The Bank has combined responsiveness with innovation to launch a wide range of banking products and services which are unique, convenient and very relevant to Indian consumer."
31,Ernst & Young,3.6,Management Consulting ,Job Security, London ,9.1, 50k-1 Lakh ,"At EY, our purpose is Building a better working world. The insights and quality services we provide help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. In a world that’s changing faster than ever, our purpose acts as our ‘North Star’ guiding our more than 280,000 people — providing the context and meaning for the work we do every day. We help digital pioneers fight data piracy; guide governments through cash-flow crises; unlock new medical treatments with data analytics; and pursue high quality audits to build trust in financial markets and business. In other words, working with entrepreneurs, companies, and entire countries to solve their most pressing challenges."
32,AU Small Finance Bank,4.5,Banking ,"Skill Development / Learning, Job Security, Company Culture", Jaipur ,8.8, 10k-50k ,"We are redefining what a bank should be. We enable a convenient banking experience. We uncomplicate banking for you. The dream started two decades ago by Mr. Sanjay Agarwal, a merit holder Chartered Accountant and a first generation entrepreneur, along with his proficient team. Together, the dexterous team embarked on a journey of excellence while enriching lives along the way. What started off as a dream to be one of the fastest growing NBFCs, AU Financiers is now AU SMALL FINANCE BANK. Throughout our journey we have focused on solutions, completely based on our customers’ needs. This transformation, from being a finance company to a bank, which provides a place for safe keeping, is a reflection of many things that"
33,Mahindra & Mahindra,4.2,Automobile ,"Job Security, Skill Development / Learning, Company Culture", Mumbai ,8.8, 1 Lakh+ ,"Mahindra & Mahindra Ltd. is the flagship Company of the Mahindra Group. Our core business is mobility products and farm solutions. Since assembling our first vehicle in 1947, we have grown rapidly. Today, we offer a wide range of products and solutions ranging from SUVs, pickups, commercial vehicles and tractors, to electric vehicles, two-wheelers, gensets and construction equipment. We commenced our exports in the 1960s, and today, our vehicles and tractors can be found in all six habitable continents of the world.A technology & innovation-led, global, federation of companies, that provides a wide range of products, services & possibilities, enabling people to Rise. We have more than 2,60,000 employees and a presence in over 100 countries. Founded in 1945; it is the world's largest tractor Company by volume. The Group enjoys a leadership position in farm equipment, utility vehicles, information technology and financial services in India. It also has a strong presence in renewable energy, agriculture, logistics, hospitality, and real estate.While remaining committed to the core values and purpose, the Group has redefined the way to lead businesses by embracing ESG and technology for greater resilience, positioning itself for future growth, and creating shared value, enabling people to Rise. With the core corporate philosophy of Rise, the Group is reinventing the way the world looks at businesses. The Group has a clear focus on leading ESG globally, enabling rural prosperity and enhancing urban living, with a goal to drive positive change in the lives of communities and stakeholders to enable them to Rise."
